file,measure,referent,bpm,method,reference
humdrum_chopin_first_editions_028_1-12-1a-C-001,1,4,84,recording_reference,"Agitato; Kissin, Chopin: 24 Preludes & Sonata No.2 Op.35 & Polonaise Op.53"
humdrum_chopin_first_editions_031-1-Sm,1,4,184,score_marking,Presto; NIFC
humdrum_chopin_first_editions_033-1-BH-001,0,4,120,fallback,Mesto; 性格標記無速度，fallback
humdrum_chopin_first_editions_033-1-BH-003,0,4,120,fallback,Semplice; 性格標記無速度，fallback
humdrum_chopin_first_editions_033-1-BH-004,0,4,120,fallback,Mesto; 性格標記無速度，fallback
humdrum_chopin_first_editions_035-1b-BH-002,0,4,120,fallback,Scherzo無tempo標記; fallback
humdrum_chopin_first_editions_035-1b-BH-003,1,4,52,score_marking,Lento; TR版
humdrum_chopin_first_editions_041-1a-TR-003,0,4,116,score_marking,Allegretto; NIFC BH版
humdrum_chopin_first_editions_042-1-P,1,4,160,score_marking,Vivace; ourchopin.com PDF確認，kern漏編
humdrum_chopin_first_editions_044-1-ME,1,4,128,score_marking,Allegro moderato; 多來源確認，kern漏編
humdrum_chopin_first_editions_045-2-Sm,1,4,120,fallback,Sostenuto; 性格標記無速度，fallback
humdrum_chopin_first_editions_051-1-Sm,1,4.,85,recording_reference,"Tempo giusto; Yundi, spotify:track:29ZAGoKOX6a4oeB0iFl14z"
humdrum_chopin_first_editions_051-1-Sm,49,4,85,recording_reference,Sostenuto; 同速度，此段一拍寫成四分音符
humdrum_chopin_first_editions_058-1a-MEIj-003,1,4,50,score_marking,Largo; NIFC
humdrum_chopin_first_editions_064-1a-BH-002,0,4,90,edition_marking,Tempo giusto; Pachmann版 dotted-half=60 → quarter=90
humdrum_chopin_first_editions_072-1-MEIf-004-ecossaise,0,4,108,score_marking,繼承No.1 Vivace MM108; NIFC
humdrum_chopin_first_editions_072-1-MEIf-005,0,4,108,score_marking,繼承No.1 Vivace MM108; NIFC
humdrum_chopin_first_editions_072sep-1e-Sam-002-ecossaise,0,4,108,score_marking,繼承No.1 Vivace MM108; NIFC
humdrum_chopin_first_editions_072sep-1e-Sam-003-ecossaise,0,4,108,score_marking,繼承No.1 Vivace MM108; NIFC
humdrum_chopin_first_editions_PolGm-1-CY,1,4,93,recording_reference,"Chopin For The Afternoon, spotify:track:2DY4yvBsnkfb9IlU8P43ZR"
humdrum_chopin_first_editions_WaltzEm-1b-SCH,0,4,160,song_lookup,Vivace; 多來源確認
mozart_piano_sonatas_sonata06-3c,1,4,120,inherit_theme,繼承theme Andante *MM120
mozart_piano_sonatas_sonata06-3i,1,4,120,inherit_theme,繼承theme Andante *MM120
mozart_piano_sonatas_sonata11-1g,1,4,132,score_marking,Allegro; kern OMD
musesyn_A_Town_With_An_Ocean_View_Piano,1,4,107,song_lookup,web search
musesyn_Alan_Walker_-_Force_Clear_Liu_Piano_Cover,1,4,105,song_lookup,web search
musesyn_Arrival_of_the_birds_-_Piano_Solo,1,4,87,song_lookup,6/4; dotted-half = beat
musesyn_Because_Im_Stupid_Piano_cover__from-Boys_Over_Flowers,1,4,113,song_lookup,web search
musesyn_Canon_in_D_Pachebel._Piano_Version_by_AC,1,4,100,range_estimate,no standard tempo; picked from range 80-108
musesyn_Carol_of_the_Bells_easy_piano,1,4,160,range_estimate,no standard tempo; picked from range 150-170
